HDR,ROLLING SYSTEM DEMAND
VD,20220127091500,40243
VD,20220127092000,40365
VD,20220127092500,40366
VD,20220127093000,40413
VD,20220127093500,40479
VD,20220127094000,40522
VD,20220127094500,40466
VD,20220127095000,40418
VD,20220127095500,40377
VD,20220127100000,40515
VD,20220127100500,40405
VD,20220127101000,40082
VD,20220127101500,40050
VD,20220127102000,39954
VD,20220127102500,39909
VD,20220127103000,39904
VD,20220127103500,39903
VD,20220127104000,39886
VD,20220127104500,39830
VD,20220127105000,39800
VD,20220127105500,39737
VD,20220127110000,39620
VD,20220127110500,39662
VD,20220127111000,39580
VD,20220127111500,39526
VD,20220127112000,39405
VD,20220127112500,39283
VD,20220127113000,39101
VD,20220127113500,39003
VD,20220127114000,38892
VD,20220127114500,38844
VD,20220127115000,38816
VD,20220127115500,38783
VD,20220127120000,38850
VD,20220127120500,38711
VD,20220127121000,38765
VD,20220127121500,38721
VD,20220127122000,38653
VD,20220127122500,38664
VD,20220127123000,38597
VD,20220127123500,38595
VD,20220127124000,38503
VD,20220127124500,38412
VD,20220127125000,38341
VD,20220127125500,38150
VD,20220127130000,38065
VD,20220127130500,38351
VD,20220127131000,38464
VD,20220127131500,38341
VD,20220127132000,38287
VD,20220127132500,38190
VD,20220127133000,37928
VD,20220127133500,37753
VD,20220127134000,37600
VD,20220127134500,37606
VD,20220127135000,37596
VD,20220127135500,37468
VD,20220127140000,37468
VD,20220127140500,37425
VD,20220127141000,37431
VD,20220127141500,37498
VD,20220127142000,37504
VD,20220127142500,37387
VD,20220127143000,37445
VD,20220127143500,37669
VD,20220127144000,37838
VD,20220127144500,37723
VD,20220127145000,37909
VD,20220127145500,37947
VD,20220127150000,38086
VD,20220127150500,38396
VD,20220127151000,38403
VD,20220127151500,38441
VD,20220127152000,38649
VD,20220127152500,38783
VD,20220127153000,38913
VD,20220127153500,39138
VD,20220127154000,39299
VD,20220127154500,39576
VD,20220127155000,40016
VD,20220127155500,40380
VD,20220127160000,40466
VD,20220127160500,40547
VD,20220127161000,40622
VD,20220127161500,40949
VD,20220127162000,41190
VD,20220127162500,41369
VD,20220127163000,41597
VD,20220127163500,41828
VD,20220127164000,42052
VD,20220127164500,42323
VD,20220127165000,42661
VD,20220127165500,42788
VD,20220127170000,42990
VD,20220127170500,43374
VD,20220127171000,43724
VD,20220127171500,44170
VD,20220127172000,44489
VD,20220127172500,44703
VD,20220127173000,44598
VD,20220127173500,44406
VD,20220127174000,44490
VD,20220127174500,44390
VD,20220127175000,44375
VD,20220127175500,44354
VD,20220127180000,44384
VD,20220127180500,44313
VD,20220127181000,44177
VD,20220127181500,44071
VD,20220127182000,43935
VD,20220127182500,43796
VD,20220127183000,43689
VD,20220127183500,43722
VD,20220127184000,43677
VD,20220127184500,43601
VD,20220127185000,43403
VD,20220127185500,43140
VD,20220127190000,43041
VD,20220127190500,42810
VD,20220127191000,42700
VD,20220127191500,42235
VD,20220127192000,41949
VD,20220127192500,41742
VD,20220127193000,41450
VD,20220127193500,41379
VD,20220127194000,41191
VD,20220127194500,41009
VD,20220127195000,40926
VD,20220127195500,40577
VD,20220127200000,40126
VD,20220127200500,39776
VD,20220127201000,39746
VD,20220127201500,39643
VD,20220127202000,39484
VD,20220127202500,39190
VD,20220127203000,38914
VD,20220127203500,38923
VD,20220127204000,38870
VD,20220127204500,38740
VD,20220127205000,38632
VD,20220127205500,38366
VD,20220127210000,38023
VD,20220127210500,37578
VD,20220127211000,37200
VD,20220127211500,36915
VD,20220127212000,36626
VD,20220127212500,36308
VD,20220127213000,35995
VD,20220127213500,35961
VD,20220127214000,35784
VD,20220127214500,35394
VD,20220127215000,35133
VD,20220127215500,34881
VD,20220127220000,34410
VD,20220127220500,33972
VD,20220127221000,33658
VD,20220127221500,33116
VD,20220127222000,32889
VD,20220127222500,32623
VD,20220127223000,32362
VD,20220127223500,32266
VD,20220127224000,32080
VD,20220127224500,31480
VD,20220127225000,31163
VD,20220127225500,30852
VD,20220127230000,30928
VD,20220127230500,31363
VD,20220127231000,31531
VD,20220127231500,31435
VD,20220127232000,31194
VD,20220127232500,30943
VD,20220127233000,30792
VD,20220127233500,30691
VD,20220127234000,30603
VD,20220127234500,30440
VD,20220127235000,30399
VD,20220127235500,30318
VD,20220128000000,30185
